3124 Cancellations by cause
textbox1,,,,,,,,,,,,,
"Table 3124 - Train planned and cancellations by operator and cause, periodic data, April 2019 to March 2025",,,,,,,,,,,,,
,,,,,,,,,,,,,
Textbox22,Textbox24,financial_period_key,National_or_Operator,Trains_planned,Trains_part_cancelled1,Trains_full_cancelled,Cancellation_score__number_,NR_Responsible_infrastructure,NR_responsible_external_Event,TOC_responsible_TOC_fault,TOC_responsible_external_event,Percent_cancelled_periodic,Percent_cancelled_periodic__MAA_
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 03),Great Britain,"525,556","9,172","11,115","15,701","5,148","1,766","8,221",538,3.0,2.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 04),Great Britain,"526,581","9,356","17,008","21,686","4,472","2,617","13,836",710,4.1,2.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 05),Great Britain,"513,938","7,513","12,711","16,468","2,383","2,653","10,922",494,3.2,2.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 06),Great Britain,"520,605","8,483","12,278","16,520","3,383","2,208","10,299",602,3.2,2.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 07),Great Britain,"532,718","8,187","10,171","14,265","4,023","2,282","7,223",648,2.7,2.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 08),Great Britain,"536,230","10,666","13,381","18,714","5,031","3,596","9,370",686,3.5,2.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 09),Great Britain,"537,046","11,519","16,585","22,345","4,833","4,845","11,640",981,4.2,2.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 10),Great Britain,"472,938","8,808","16,189","20,593","2,777","1,572","15,679",489,4.4,3.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 11),Great Britain,"504,488","7,440","8,711","12,431","2,949","2,907","5,858",690,2.5,3.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 12),Great Britain,"511,876","11,509","24,148","29,903","3,271","15,279","9,873","1,180",5.8,3.2
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 13),Great Britain,"485,828","8,294","11,630","15,777","3,538","1,867","9,755",571,3.2,3.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 01),Great Britain,"559,808","8,556","12,854","17,132","5,031","2,590","8,794",681,3.1,3.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 02),Great Britain,"535,759","8,336","10,076","14,244","3,808","2,087","7,702",610,2.7,3.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 03),Great Britain,"477,259","9,364","11,514","16,196","4,578","1,968","8,977",639,3.4,3.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 04),Great Britain,"531,849","11,787","20,365","26,259","6,575","4,244","14,208","1,054",4.9,3.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 05),Great Britain,"483,587","10,942","17,938","23,409","5,776","3,716","13,208",674,4.8,3.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 06),Great Britain,"553,643","10,364","12,550","17,732","5,045","2,750","9,130",763,3.2,3.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 07),Great Britain,"505,296","8,778","11,304","15,693","4,836","2,459","7,718",613,3.1,3.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 08),Great Britain,"520,852","11,902","15,043","20,994","5,596","3,393","11,134",804,4.0,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 09),Great Britain,"540,715","12,492","15,545","21,791","6,525","3,467","10,955",780,4.0,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 10),Great Britain,"307,328","9,280","19,924","24,564","5,767","5,815","11,880",986,8.0,3.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 11),Great Britain,"536,870","11,266","12,397","18,030","5,478","3,727","8,139",662,3.4,4.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 12),Great Britain,"560,543","9,963","11,324","16,306","4,291","3,271","8,106",613,2.9,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 13),Great Britain,"518,218","9,575","12,095","16,883","4,413","3,362","8,442",596,3.3,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 01),Great Britain,"577,643","9,780","12,902","17,792","4,396","3,278","9,423",691,3.1,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 02),Great Britain,"534,461","9,740","10,304","15,174","4,220","2,562","7,676",705,2.8,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 03),Great Britain,"529,663","11,581","15,305","21,096","6,758","2,832","10,755",732,4.0,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 04),Great Britain,"531,682","10,421","12,489","17,700","5,082","2,340","9,404",847,3.3,3.7
