3124 Cancellations by cause
textbox1,,,,,,,,,,,,,
"Table 3124 - Train planned and cancellations by operator and cause, periodic data, April 2019 to March 2025",,,,,,,,,,,,,
,,,,,,,,,,,,,
Textbox22,Textbox24,financial_period_key,National_or_Operator,Trains_planned,Trains_part_cancelled1,Trains_full_cancelled,Cancellation_score__number_,NR_Responsible_infrastructure,NR_responsible_external_Event,TOC_responsible_TOC_fault,TOC_responsible_external_event,Percent_cancelled_periodic,Percent_cancelled_periodic__MAA_
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 01),Chiltern Railways,"10,407",43,58,80,2,36,38,3,0.8,1.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 02),Chiltern Railways,"10,697",65,73,106,22,12,67,4,1.0,1.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 03),Chiltern Railways,"10,790",67,68,102,40,1,59,1,0.9,1.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 04),Chiltern Railways,"10,968",87,187,231,128,1,95,2,2.1,1.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 05),Chiltern Railways,"10,885",58,155,184,30,6,146,2,1.7,1.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 06),Chiltern Railways,"10,849",48,73,97,6,4,83,4,0.9,1.2
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 07),Chiltern Railways,"10,921",117,151,210,92,32,86,0,1.9,1.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 08),Chiltern Railways,"11,003",52,73,99,15,3,71,10,0.9,1.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 09),Chiltern Railways,"10,892",140,140,210,71,22,105,12,1.9,1.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 10),Chiltern Railways,"9,663",67,70,104,38,0,66,0,1.1,1.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 11),Chiltern Railways,"10,618",77,147,186,17,81,75,11,1.7,1.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 12),Chiltern Railways,"10,781",130,177,242,47,53,110,31,2.2,1.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 13),Chiltern Railways,"10,186",44,50,72,10,14,47,2,0.7,1.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 01),Chiltern Railways,"5,093",11,8,14,6,0,6,2,0.3,1.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 02),Chiltern Railways,"6,251",31,20,36,6,14,14,2,0.6,1.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 03),Chiltern Railways,"8,181",74,64,101,4,14,79,3,1.2,1.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 04),Chiltern Railways,"9,245",46,93,116,5,37,57,17,1.3,1.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 05),Chiltern Railways,"9,742",91,146,192,36,6,147,2,2.0,1.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 06),Chiltern Railways,"9,505",80,108,148,36,18,84,9,1.6,1.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 07),Chiltern Railways,"9,583",127,156,220,26,108,81,4,2.3,1.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 08),Chiltern Railways,"9,649",88,91,135,9,46,73,6,1.4,1.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 09),Chiltern Railways,"9,389",45,58,81,5,35,39,2,0.9,1.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 10),Chiltern Railways,"8,250",59,238,268,9,92,157,9,3.2,1.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 11),Chiltern Railways,"7,537",122,128,189,51,40,92,5,2.5,1.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 12),Chiltern Railways,"5,916",36,14,32,3,5,24,0,0.5,1.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 13),Chiltern Railways,"5,405",23,30,42,1,3,37,0,0.8,1.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 01),Chiltern Railways,"8,843",74,60,97,8,34,48,7,1.1,1.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 02),Chiltern Railways,"8,585",53,103,130,59,29,42,0,1.5,1.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 03),Chiltern Railways,"8,523",122,99,160,29,34,91,6,1.9,1.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 04),Chiltern Railways,"8,684",105,238,291,84,10,192,4,3.3,1.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 05),Chiltern Railways,"8,632",72,224,260,37,56,166,1,3.0,1.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 06),Chiltern Railways,"8,649",49,146,171,28,7,134,1,2.0,1.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 07),Chiltern Railways,"8,681",55,100,128,74,5,44,4,1.5,1.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 08),Chiltern Railways,"8,504",83,78,120,26,7,74,13,1.4,1.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 09),Chiltern Railways,"8,638",76,157,195,13,80,102,1,2.3,2.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 10),Chiltern Railways,"7,348",20,92,102,10,9,83,0,1.4,1.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 11),Chiltern Railways,"8,695",50,66,91,56,0,32,3,1.0,1.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 12),Chiltern Railways,"8,414",110,300,355,23,240,63,30,4.2,2.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 13),Chiltern Railways,"8,064",21,58,69,20,2,47,0,0.8,2.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 01),Chiltern Railways,"9,020",64,88,120,23,14,69,14,1.3,2.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 02),Chiltern Railways,"8,567",90,110,155,104,13,37,1,1.8,2.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 03),Chiltern Railways,"7,394",48,68,92,5,6,79,2,1.2,2.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 04),Chiltern Railways,"8,317",72,89,125,21,33,71,1,1.5,1.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 05),Chiltern Railways,"7,796",111,120,176,33,42,99,2,2.3,1.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 06),Chiltern Railways,"8,580",161,228,309,97,127,73,12,3.6,1.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 07),Chiltern Railways,"7,985",99,68,118,52,17,46,2,1.5,1.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 08),Chiltern Railways,"8,069",88,75,119,26,10,74,9,1.5,1.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 09),Chiltern Railways,"8,440",84,94,136,23,26,87,1,1.6,1.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 10),Chiltern Railways,"2,324",14,15,22,2,0,20,0,0.9,1.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 11),Chiltern Railways,"7,693",114,106,163,54,64,38,6,2.1,1.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 12),Chiltern Railways,"8,496",94,126,173,18,84,69,2,2.0,1.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 13),Chiltern Railways,"7,718",170,164,249,21,183,44,1,3.2,1.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 01),Chiltern Railways,"8,674",218,162,271,27,97,144,4,3.1,2.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 02),Chiltern Railways,"7,052",69,59,94,12,24,57,0,1.3,2.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 03),Chiltern Railways,"7,775",30,65,80,12,18,51,0,1.0,2.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 04),Chiltern Railways,"7,167",46,45,68,20,9,37,1,0.9,2.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 05),Chiltern Railways,"6,467",64,79,111,11,9,91,0,1.7,2.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 06),Chiltern Railways,"7,296",58,98,127,42,2,80,3,1.7,1.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 07),Chiltern Railways,"7,056",118,151,210,23,24,127,35,3.0,1.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 08),Chiltern Railways,"8,343",65,121,154,12,43,97,1,1.8,2.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 09),Chiltern Railways,"7,631",65,86,119,12,14,86,7,1.6,2.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 10),Chiltern Railways,"7,588",120,208,268,16,80,171,2,3.5,2.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 11),Chiltern Railways,"7,941",116,223,281,125,93,59,4,3.5,2.2
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 12),Chiltern Railways,"7,905",170,189,274,177,30,55,12,3.5,2.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 13),Chiltern Railways,"8,537",73,107,144,21,20,102,0,1.7,2.2
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 01),Chiltern Railways,"7,574",39,49,69,15,12,39,3,0.9,2.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 02),Chiltern Railways,"7,640",46,90,113,11,2,99,1,1.5,2.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 03),Chiltern Railways,"8,527",92,95,141,83,4,49,5,1.7,2.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 04),Chiltern Railways,"8,660",67,87,121,56,6,57,2,1.4,2.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 05),Chiltern Railways,"8,657",160,154,234,17,137,66,14,2.7,2.2
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 06),Chiltern Railways,"8,737",64,129,161,35,13,107,6,1.8,2.2
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 07),Chiltern Railways,"8,347",161,382,463,162,164,133,3,5.5,2.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 08),Chiltern Railways,"8,398",106,132,185,52,7,115,11,2.2,2.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 09),Chiltern Railways,"8,607",173,144,231,30,68,129,4,2.7,2.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 10),Chiltern Railways,"7,494",105,195,248,110,7,128,2,3.3,2.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 11),Chiltern Railways,"8,832",84,78,120,14,17,85,4,1.4,2.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 12),Chiltern Railways,"8,584",80,164,204,146,8,48,1,2.4,2.2
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 13),Chiltern Railways,"9,002",87,55,99,30,7,59,3,1.1,2.2
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 01),CrossCountry,"7,687",202,71,172,74,24,68,6,2.2,2.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 02),CrossCountry,"7,992",149,60,135,37,30,65,3,1.7,2.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 03),CrossCountry,"7,895",184,100,192,53,41,96,2,2.4,2.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 04),CrossCountry,"7,951",219,112,222,82,35,100,4,2.8,2.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 05),CrossCountry,"7,812",341,151,322,101,67,148,5,4.1,2.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 06),CrossCountry,"7,841",228,183,297,60,37,194,6,3.8,2.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 07),CrossCountry,"8,062",257,160,289,110,36,131,11,3.6,2.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 08),CrossCountry,"8,081",381,256,447,119,124,189,15,5.5,3.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 09),CrossCountry,"8,062",315,207,365,92,104,157,12,4.5,3.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 10),CrossCountry,"7,169",308,237,391,91,42,240,18,5.5,3.2
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 11),CrossCountry,"7,899",253,122,249,128,50,66,5,3.1,3.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 12),CrossCountry,"7,774",336,198,366,83,208,69,6,4.7,3.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2019 to Mar 2020 (Period 13),CrossCountry,"7,623",246,77,200,72,44,77,8,2.6,3.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 01),CrossCountry,"4,907",34,8,25,8,8,8,1,0.5,3.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 02),CrossCountry,"4,256",50,23,48,11,17,15,4,1.1,3.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 03),CrossCountry,"4,310",52,24,50,13,9,27,1,1.2,3.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 04),CrossCountry,"4,732",54,15,42,10,17,14,1,0.9,3.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 05),CrossCountry,"4,874",66,24,57,21,16,18,2,1.2,3.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 06),CrossCountry,"4,928",157,26,105,53,33,18,1,2.1,3.2
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 07),CrossCountry,"5,002",93,37,84,36,30,15,1,1.7,3.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 08),CrossCountry,"4,878",50,21,46,18,8,16,4,0.9,2.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 09),CrossCountry,"4,874",51,16,42,9,11,21,1,0.9,2.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 10),CrossCountry,"4,584",193,74,171,61,86,22,2,3.7,2.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 11),CrossCountry,"4,900",240,53,173,45,95,19,14,3.5,2.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 12),CrossCountry,"5,040",120,44,104,26,56,14,8,2.1,1.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2020 to Mar 2021 (Period 13),CrossCountry,"4,486",73,31,68,15,21,30,1,1.5,1.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 01),CrossCountry,"5,579",70,30,65,20,34,11,1,1.2,1.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 02),CrossCountry,"5,672",143,119,191,40,43,106,1,3.4,1.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 03),CrossCountry,"6,377",138,145,214,42,24,132,16,3.4,2.1
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 04),CrossCountry,"6,254",163,119,201,56,32,107,6,3.2,2.2
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 05),CrossCountry,"6,217",156,84,162,75,43,39,5,2.6,2.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 06),CrossCountry,"6,185",105,68,121,32,22,63,4,1.9,2.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 07),CrossCountry,"6,362",121,50,111,40,16,52,3,1.7,2.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 08),CrossCountry,"6,375",111,65,121,34,35,48,4,1.9,2.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 09),CrossCountry,"5,799",248,133,257,60,85,97,15,4.4,2.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 10),CrossCountry,"4,737",142,156,227,27,34,164,1,4.8,2.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 11),CrossCountry,"5,378",78,53,92,30,39,21,2,1.7,2.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 12),CrossCountry,"5,129",184,123,215,27,143,44,0,4.2,2.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2021 to Mar 2022 (Period 13),CrossCountry,"5,444",105,72,125,23,57,40,5,2.3,2.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 01),CrossCountry,"5,992",158,128,207,50,22,131,4,3.5,3.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 02),CrossCountry,"5,949",148,136,210,61,21,121,8,3.5,3.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 03),CrossCountry,"5,764",201,238,339,74,32,231,2,5.9,3.2
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 04),CrossCountry,"6,335",296,504,652,125,95,423,9,10.3,3.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 05),CrossCountry,"5,280",207,171,275,88,37,139,11,5.2,3.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 06),CrossCountry,"6,313",241,222,343,75,41,224,2,5.4,4.2
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 07),CrossCountry,"5,844",160,216,296,57,53,184,2,5.1,4.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 08),CrossCountry,"6,065",280,522,662,76,78,485,23,10.9,5.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 09),CrossCountry,"6,373",350,591,766,114,76,570,6,12.0,5.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 10),CrossCountry,"3,476",247,258,382,79,39,261,4,11.0,6.2
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 11),CrossCountry,"6,135",202,193,294,61,61,170,1,4.8,6.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 12),CrossCountry,"6,101",212,168,274,68,33,167,6,4.5,6.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2022 to Mar 2023 (Period 13),CrossCountry,"5,767",148,126,200,31,47,117,5,3.5,6.5
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 01),CrossCountry,"6,646",204,263,365,56,102,202,5,5.5,6.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 02),CrossCountry,"6,563",261,178,309,77,59,169,3,4.7,6.7
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 03),CrossCountry,"5,918",370,388,573,163,62,342,7,9.7,7.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 04),CrossCountry,"5,865",447,384,608,157,107,334,9,10.4,7.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 05),CrossCountry,"6,207",319,304,464,54,47,354,9,7.5,7.2
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 06),CrossCountry,"5,878",274,226,363,113,30,211,10,6.2,7.2
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 07),CrossCountry,"5,722",248,185,309,102,42,159,6,5.4,7.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 08),CrossCountry,"6,201",494,508,755,195,296,239,25,12.2,7.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 09),CrossCountry,"6,003",468,518,752,157,105,478,13,12.5,7.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 10),CrossCountry,"6,108",627,683,997,108,303,575,11,16.3,7.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 11),CrossCountry,"6,459",365,187,370,130,81,154,4,5.7,8.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 12),CrossCountry,"6,399",407,455,659,200,80,370,8,10.3,8.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 13),CrossCountry,"6,913",235,127,245,71,55,111,7,3.5,8.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 01),CrossCountry,"6,152",272,200,336,104,61,164,7,5.5,8.4
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 02),CrossCountry,"6,412",421,259,470,109,97,258,5,7.3,8.6
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 03),CrossCountry,"6,869",266,304,437,72,54,305,6,6.4,8.3
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 04),CrossCountry,"7,039",446,363,586,149,99,320,19,8.3,8.2
