operator,financial_period,number_of_stops,on_time_percentage
,2024-25 Period 11,964,63.6
,2024-25 Period 12,"1,252",62.4
,2024-25 Period 13,"1,394",63.6
Chiltern Railways,2022-23 Period 01,"79,668",78.4
,2022-23 Period 02,"76,110",77.1
,2022-23 Period 03,"63,935",74.6
,2022-23 Period 04,"74,215",68.2
,2022-23 Period 05,"68,008",64.8
,2022-23 Period 06,"73,221",68.3
,2022-23 Period 07,"67,939",69.7
,2022-23 Period 08,"69,735",64.9
,2022-23 Period 09,"74,131",66.4
,2022-23 Period 10,"20,863",83.8
,2022-23 Period 11,"67,276",70
,2022-23 Period 12,"74,008",76.3
,2022-23 Period 13,"66,198",75.7
,2023-24 Period 01,"74,405",67.8
,2023-24 Period 02,"61,263",75.8
,2023-24 Period 03,"67,481",78.5
,2023-24 Period 04,"62,563",82.1
,2023-24 Period 05,"55,267",83.9
,2023-24 Period 06,"65,433",80.7
,2023-24 Period 07,"61,959",79.6
,2023-24 Period 08,"72,677",77.5
,2023-24 Period 09,"65,718",71.1
,2023-24 Period 10,"65,351",79.5
,2023-24 Period 11,"65,124",77.4
,2023-24 Period 12,"67,199",78.5
,2023-24 Period 13,"74,236",81.9
,2024-25 Period 01,"65,189",84.5
,2024-25 Period 02,"66,219",82.3
,2024-25 Period 03,"74,073",81.8
,2024-25 Period 04,"74,828",74
,2024-25 Period 05,"71,378",76
,2024-25 Period 06,"73,790",80.1
,2024-25 Period 07,"69,638",72.9
,2024-25 Period 08,"72,350",75.3
,2024-25 Period 09,"74,110",71.2
,2024-25 Period 10,"62,216",79.1
,2024-25 Period 11,"74,304",82.1
,2024-25 Period 12,"72,466",83.5
,2024-25 Period 13,"76,887",83
CrossCountry,2022-23 Period 01,"64,980",61.9
,2022-23 Period 02,"64,993",60.8
,2022-23 Period 03,"61,793",55.4
,2022-23 Period 04,"63,234",44.4
,2022-23 Period 05,"56,707",41.6
,2022-23 Period 06,"67,929",51
,2022-23 Period 07,"62,547",50.7
,2022-23 Period 08,"60,336",40.8
,2022-23 Period 09,"63,056",40.1
,2022-23 Period 10,"35,140",47.4
,2022-23 Period 11,"64,086",48.9
,2022-23 Period 12,"67,208",53.5
,2022-23 Period 13,"61,640",53.2
