textbox22,textbox24,financial_period_key,national_or_operator,trains_planned,trains_part_cancelled1,trains_full_cancelled,cancellation_score__number_,nr_responsible_infrastructure,nr_responsible_external_event,toc_responsible_toc_fault,toc_responsible_external_event,percent_cancelled_periodic,percent_cancelled_periodic__maa_
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2023 to Mar 2024 (Period 13),Great Britain,"583,999","10,129","12,101","17,166","5,538","3,360","7,429",778,2.9,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 01),Great Britain,"540,889","9,959","12,290","17,270","5,033","3,420","8,103",666,3.2,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 02),Great Britain,"555,387","10,676","12,521","17,859","4,727","3,088","9,488",556,3.2,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 03),Great Britain,"577,121","11,877","16,120","22,059","5,817","3,357","11,965",911,3.8,3.8
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 04),Great Britain,"570,450","14,065","17,517","24,550","6,511","3,421","13,557","1,059",4.3,3.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 05),Great Britain,"561,283","12,955","16,512","22,990","6,284","3,631","12,238",826,4.1,3.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 06),Great Britain,"563,710","12,458","16,939","23,168","6,220","4,127","12,170",635,4.1,3.9
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 07),Great Britain,"567,121","13,813","19,099","26,006","5,926","5,802","13,325",951,4.6,4.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 08),Great Britain,"578,213","13,479","17,781","24,521","5,726","3,333","14,361","1,100",4.2,4.0
"Periodic cancellations score 
(percentage)","Moving annual average cancellations score 
(percentage)",Apr 2024 to Mar 2025 (Period 09),Great Britain,"579,139","18,343","26,687","35,859","8,666","9,062","16,637","1,488",6.2,4.1
